001686	ИВЛ (сухой)	ООО "Пицца Стар"	14650351000988	Варенье малиновое 120 шт* 25гр
001875	ИВЛ (сухой)	ООО "Пицца Стар"	4620003197390	Упаковка потребительская из картона, бумаги и комбинированных материалов для пищевой продукции: пачки для завтраков П3-1 Тз Додо, 300 шт
47496	Велпак	ООО "Пицца Стар"	4813676002225	Ящик (110х100х40) "для закусок мини" с ф/п,КТ-23 Е бур,ц/м/ц 50 шт/кор
lok017	Крышар	ООО "Пицца Стар"	4813853008897	Держатель для двух стаканов 200х110х40 натуральный, 428 шт.
000210	Тибетрэй	ООО "Пицца Стар"	4607163090624	Сок "Сады Придонья" Яблочный прямого отжима осветленный без сахара для детского питания 0,2 л.
001313	ИВЛ (сухой)	ООО "Пицца Стар"	4813853007579	Чай черный рассыпной листовой крупный фасованный "Английский классический" 4 уп.по 60 г.
lok032	Крышар	ООО "Пицца Стар"	4812491006647	Набор одноразовый: Вилка столовая ЭКО (170мм), КРАФТ в индивид. упаковке, КРЫШАР, 500 шт.
001148	ИВЛ (сухой)	ООО "Пицца Стар"	4620020805612	Крышка с питейником мат. оранж. 90мм 1000 шт.
000061	ИВЛ (мороз)	ООО "Пицца Стар"	4813853005605	Брусника IQF быстрозамороженный продукт, 10кг/кор
001182	ИВЛ (сухой)	ООО "Пицца Стар"	4640203000092	Соус "Барбекю" ТЗ "ДОДО" 0,025 г * 120 шт
249211	ИмЭксТрейд	ООО "Пицца Стар"	9001414200162	Корица молотая ТМ "KOTANYI" пл/б 600 г/1200 мл ШТУКА
49025	Велпак	ООО "Пицца Стар"	4813676002386	Ящик из гофрированного картона (310х310х40) "30 см" с ф/п, КТ-23Е бур, 50 шт
001930	ИВЛ (холод)	ООО "Пицца Стар"	4660217641340	Соус на основе растительных масел "Масала" ТЗ "ДОДО" 0,25 кг*15 шт
001544	ИВЛ (холод)	ООО "Пицца Стар"	4660217640565	Соус на основе растительных масел ДОДО Песто с базиликом, 1 кг*4 шт
SEN001	Сенненские сыры	ООО "Пицца Стар"	4816038300823	Сыр Моцарелла массовая доля жира в сухом веществе 40 % различной конфигурации – кубик, 6 кг
001146-1	ИВЛ (сухой)	ООО "Пицца Стар"	4650068683385	Сироп пастеризованный с ароматом кокоса 1 л ШТУКА
49027	Велпак	ООО "Пицца Стар"	4813676002379	Ящик из гофрированного картона (260х260х40) "25 см" с ф/п, КТ-23Е бур, 50 шт
76019557	Хайнц	ООО "Пицца Стар"	4601674010515	Cоус томатный Барбекью Класический Heinz 6 шт.* 1кг.
118019670	Тибетрэй	ООО "Пицца Стар"	4607163091577	Сок "Сады Придонья" яблочный из зеленых яблок осветленный восстановенный для питаяния детей старше 3-х лет, дошкольного и школьного возраста, 1л, 12 шт КОР
LID001	Лидское пиво	ООО "Пицца Стар"	4810285008402	Квас напиток б/а паст. фильтр. «Квас Лидский Хлебный» ПЭТ 1,0л.
3375	Дымов	ООО "Пицца Стар"	4620031248736	Колбаски п/к Классические, в/у, зам, 6 кг, Додо
3667	Дымов	ООО "Пицца Стар"	4620031249559	Мясной продукт. Изделие колбасное сырокопченое. Колбаса полусухая с регулятором кислотности "Пепперони" замороженная серв.нарез "ТЗ"Додо" П-7, 1кг*8 шт.
001802	ИВЛ (холод)	ООО "Пицца Стар"	4601674002268	Pikador Соус на основе растительных масел сырный ТЗ"ДОДО", 125шт*25гр
001116	ИВЛ (холод)	ООО "Пицца Стар"	4650118147614	Соус на основе растительных масел "Сливочный с грибами" ТЗ "ДОДО" 0,5 кг * 9 шт
001338	ИВЛ (сухой)	ООО "Пицца Стар"	4670116581418	Консервы. Перец халапеньо резанный маринованный т.з. "segreti d artigiano" 2,9 кг*6 шт
2016Ф5	Мелькомбинат	ООО "Пицца Стар"	4602991002795	Мука макаронная в/с "mamma mia Pizza" 5 кг КРУПКА
8160908	Лидское пиво	ООО "Пицца Стар"	4810285009447	Вода питьевая газированная «АУРА», обработана с применением обратного осмоса и УФ-облучением, ПЭТ 0,5л.
000568	ИВЛ (мороз)	ООО "Пицца Стар"	4607003125011	Изделия хлебобулочные. Лепешки Тортильи/Tortillas пшеничные оригинальные замороженные 8,2 кг.10упак*12шт
lok028	Мостра (МАЙ)	ООО "Пицца Стар"	4660115906787	Face to Face Crema. Кофе жареный в зёрнах Crema 1000г ШТУКА
000920-1	ИВЛ (сухой)	ООО "Пицца Стар"	4650068682999	Концентрат на натуральной онове "Клубника" 1 л ШТУКА
001704	ИВЛ (сухой)	ООО "Пицца Стар"	4620020809818	Крышка с питейником 80мм матовая оранжевая 600 шт
730711	ИмЭксТрейд	ООО "Пицца Стар"	9001414105009	Приправа итальянские травы сушеные ТМ "KOTANYI" пл/б 63 г/400 мл ШТУКА
106001	Лидское пиво	ООО "Пицца Стар"	4810285016582	Концентрат для приготовления безалкогольных напитков в аппаратах системы "Постмикс" непаст. «МИРИНДА» БИБ” 10л
47494	Велпак	ООО "Пицца Стар"	4813676002232	Ящик (205х100х60)" для закусок" с ф/п, КТ-23 Е бур ц/м/ц 50 шт/кор
000211	Тибетрэй	ООО "Пицца Стар"	4607163090655	Сок "Сады Придонья" Яблочно-абрикосовый с мякотью востановленный для детского питания 0,2 л.
LID002	Лидское пиво	ООО "Пицца Стар"	4810285008419	Квас напиток б/а паст. фильтр. «Квас Лидский Темный» ПЭТ 1,0л.
001478	ИВЛ (сухой)	ООО "Пицца Стар"	14605476004915	Упаковка потребительская предназначенная для контакта с пищевой продукцией: форма из фольги алюминиевой R13L 12*50, 660мл, 600шт КОРОБ
600560	Интропластика	ООО "Пицца Стар"	14607004251839	КРЫШКА ПЛ МК90 П/ПРОЗР. 12*150 шт ДОДО
001257	ИВЛ (сухой)	ООО "Пицца Стар"	4650118149434	Концентрат пищевой. Смесь для приготовления какао - напитка. Напиток шоколадный "Какао" 90 шт * 26 г
000414	ИВЛ (сухой)	ООО "Пицца Стар"	4606055076975	Алюминиевые формы. Предназначены для пищевой продукции, 650 мл, 600шт*кор
SERV003	Серволюкс	ООО "Пицца Стар"	4811125019039	Кулинарное изделие из мяса цыплят-бройлеров. "Попкорн в панировке" запеченный замороженный, 12 кг
000597	ИВЛ (сухой)	ООО "Пицца Стар"	4607180870544	Огурцы маринованные нарезанные слайсами 5*1,8 кг/1 кг
08327	Суперпак	ООО "Пицца Стар"	4813853008866	Пакет бумажный 120*65*290 с печатью 40г, БУБ 1000 шт./кор
001959	ИВЛ (сухой)	ООО "Пицца Стар"	4813853009085	Чай черный рассыпной листовой крупный с добавками фасованный «Ягодный коктейль», 4уп х 60гр
4716	Дымов	ООО "Пицца Стар"	4680003508749	Колбаса «Чоризо» с/к , ст.вес 8 кг, защ.ср., зам.
001969	ИВЛ (мороз)	ООО "Пицца Стар"	14607165647816	Полуфабрикат овощной картофельный обжаренный, замороженный "Котлеты картофельные "Хешбрауны" овальные, 5уп*2,5кг
001101	ИВЛ (холод)	ООО "Пицца Стар"	4650118147300	Соус майонезный "Сырный" ТЗ "Додо" 4,5 кг.
001922	ИВЛ (сухой)	ООО "Пицца Стар"	4813404003517	Сироп Гурмикс "Черный лес", 1 л, 6шт в кор
001908	ИВЛ (сухой)	ООО "Пицца Стар"	4620003197048	Коробки для десертов Д-2.2 ТЗ Додо 200 шт упаковка потребительская из картона, бумаги и комбинированных материалов для пищевой продукции
001447	ИВЛ (мороз)	ООО "Пицца Стар"	4620058452796	Чизкейк New York ТЗ Додо мучное кондитерское изделие 4 шт х 1,66кг ШТУКА
001964	ИВЛ (холод)	ООО "Пицца Стар"	14600699007002	Соус майонезный "Бургер" ТЗ "ДОДО", 1 кг * 10 шт
lok033	Крышар	ООО "Пицца Стар"	4812491006661	Набор одноразовый: Нож столовый ЭКО (178мм), КРАФТ в индивид. упаковке, КРЫШАР, 500 шт.
001473	ИВЛ (сухой)	ООО "Пицца Стар"	4631012007051	Стакан из бумаги, картона и комбинированных материалов для холодных и горячих пищевых продуктов, 350 мл, 600 шт
FMB9	Ви Фрай	ООО "Пицца Стар"	4660015861056	Предварительно обжаренный быстрозамороженный полуфабрикат из картофеля "Картофель фри с панировкой "Со специями" "ФРАЙ МИ/FRY ME" "PREMIUM", 5*2.5 кг
W01D	Ви Фрай	ООО "Пицца Стар"	4660015861483	Предварительно обжаренный быстрозамороженный полуфабрикат из картофеля "Картофельные дольки со специями с кожурой "ФРАЙ МИ/FRY ME" "PREMIUM", 5*2.5 кг
lok020	Крышар	ООО "Пицца Стар"	4813853008927	Пакеты (из полиэтилена высокой плотности) HDPE 55х20, 1000 шт.
2519	Дымов	ООО "Пицца Стар"	4620031245872	Ветчина Классическая, нарезка, з/с, замороженая, 6 кг СТМ ДоДо
MID002	Мидаспро	ООО "Пицца Стар"	4814708006235	Стакан бумажный для холодных и горячих жидкостей с двойной стенкой 250мл Додо Пицца, 750 шт
